PLAYER_ID,PLAYER_NAME
1747,Rafer Alston
78554,John Williams
78531,Bob Wilkerson
101154,Andray Blatche
77198,Wali Jones
101155,Ryan Gomes
77713,Jack Nichols
1711,Raef LaFrentz
2032,Darius Miles
201166,Aaron Brooks
785,Eric Murdock
76429,Ed Conlin
907,Malik Sealy
76566,Connie Dierking
2420,Nenad Krstic
101106,Andrew Bogut
213,Antonio Davis
76404,Nat Clifton
783,Frank Brickowski
201579,Roy Hibbert
2594,Kyle Korver
77883,Jim Price
265,Harvey Grant
892,Spud Webb
77966,Mike Riordan
1952,Raja Bell
77103,Lucious Jackson
77800,Sonny Parker
2436,Flip Murray
77371,Bob Leonard
1088,Chucky Atkins
77528,Jim McElroy
2229,Mike James
77480,Slater Martin
9,Sedale Threatt
87,Dikembe Mutombo
201975,Jodie Meeks
769,B.J. Armstrong
101139,CJ Miles
78153,Connie Simmons
77580,John Mengelt
201584,Courtney Lee
77770,Louis Orr
1517,Bobby Jackson
2753,Delonte West
76663,Leroy Ellis
324,Anthony Peeler
76351,M.L. Carr
891,Charles Oakley
920,A.C. Green
201158,Marco Belinelli
296,Rick Fox
349,Mark Jackson
101123,Gerald Green
78656,Blair Rasmussen
28,Doug West
101181,Jose Calderon
78060,Thomas Sanders
76483,Pat Cummings
77530,Mike McGee
77353,Allen Leavell
201571,D.J. Augustin
77438,Kyle Macy
77835,Curtis Perry
948,Marcus Camby
201581,JJ Hickson
76382,Len Chappell
76435,Darwin Cook
3,Grant Long
384,Calbert Cheaney
333,Kevin Gamble
442,Pervis Ellison
76680,Keith Erickson
201627,Anthony Morrow
77756,Mark Olberding
101124,Hakim Warrick
77633,Johnny Moore
238,Tyrone Hill
78151,Paul Silas
202684,Tristan Thompson
76305,Tom Burleson
76782,Winston Garland
78117,Paul Seymour
201959,Taj Gibson
76874,Rickey Green
976,Jeff McInnis
76996,Tom Henderson
76747,Jim Fox
2557,Luke Ridnour
78238,Dave Stallworth
699,Brent Barry
1903,Kenny Thomas
156,Antoine Carr
78567,Ron Williams
76130,Butch Beard
2422,John Salmons
101112,Channing Frye
201147,Corey Brewer
77875,Howard Porter
76733,Chris Ford
78467,Kermit Washington
76877,Si Green
353,Darrell Armstrong
895,Tyrone Corbin
761,Matt Geiger
78651,John Tresvant
77130,Buck Johnson
201599,DeAndre Jordan
219,Vinny Del Negro
76712,Bob Ferry
77946,Jerry Reynolds
77853,Andy Phillip
960,Tony Delk
77148,George Johnson
76154,Kent Benson
1515,Anthony Parker
136,P.J. Brown
1541,Alvin Williams
77973,Rick Roberson
45,George McCloud
600009,Rory Sparrow
201596,Mario Chalmers
76002,Zaid Abdul-Aziz
78475,Nick Weatherspoon
145,Tracy Murray
77019,Rod Higgins
201149,Joakim Noah
2250,Bobby Simmons
1607,Troy Hudson
202349,Greivis Vasquez
202682,Derrick Williams
78473,Slick Watts
76993,Gerald Henderson
123,Robert Pack
76895,Bob Gross
76070,Alvin Attles
77273,Reggie King
1863,Earl Boykins
78437,Darrell Walker
201574,Jason Thompson
76444,Michael Cooper
77548,Mccoy McLemore
201980,Danny Green
77087,Geoff Huston
76661,Joe Ellis
76085,James Bailey
76105,Jim Barnes
76977,Tom Hawkins
201577,Robin Lopez
76082,John Bagley
174,John Battle
101110,Martell Webster
2199,Tyson Chandler
77998,Dave Robisch
78395,Darnell Valentine
101132,Linas Kleiza
76012,Don Adams
417,Sam Mitchell
78225,Odie Spears
76985,Garfield Heard
101138,Brandon Bass
201150,Spencer Hawes
76290,Joe Bryant
718,Gary Trent
2203,Shane Battier
682,Bob Sura
200826,J.J. Barea
2564,Boris Diaw
1899,James Posey
378,Craig Ehlo
677,Eric Williams
76583,James Donaldson
76108,John Barnhill
201573,Jerryd Bayless
53,Mario Elie
76162,Henry Bibby
77034,Craig Hodges
76453,Dave Corzine
77817,Billy Paultz
2224,Jamaal Tinsley
1731,Tyronn Lue
283,Lindsey Hunter
78495,Walt Wesley
2566,Travis Outlaw
76471,Charlie Criss
462,J.R. Reid
2413,Juan Dixon
77082,Rod Hundley
76971,Steve Hawes
76379,Don Chaney
2031,Stromile Swift
2748,Dorell Wright
2757,Beno Udrih
422,Avery Johnson
77394,Earl Lloyd
77516,Tim McCormick
965,Derek Fisher
2553,Jarvis Hayes
2554,Mickael Pietrus
76402,Jim Cleamons
77323,Kevin Kunnert
2584,Willie Green
77146,Frank Johnson
201162,Jared Dudley
1709,Michael Olowokandi
78125,Charlie Share
76458,Mel Counts
78375,Trent Tucker
201956,Omri Casspi
76296,Quinn Buckner
77754,Mike O'Koren
77636,Otto Moore
1504,Danny Fortson
78245,Larry Steele
2754,Tony Allen
2404,Chris Wilcox
76516,Brad Davis
2440,Matt Barnes
1548,Mark Blount
1474,Larry Krystkowiak
93,Hubert Davis
77133,Charlie Johnson
77182,Dwight Jones
