player_id,season_id,cluster
124.0,2004-05,1
128.0,1997-98,0
128.0,2000-01,1
133.0,1996-97,0
133.0,1997-98,0
133.0,1998-99,0
133.0,1999-00,0
133.0,2000-01,0
133.0,2001-02,0
133.0,2002-03,0
133.0,2003-04,0
133.0,2004-05,0
133.0,2005-06,0
133.0,2006-07,1
134.0,1996-97,0
134.0,1997-98,0
134.0,1999-00,1
136.0,1996-97,2
136.0,1997-98,0
136.0,1998-99,0
136.0,1999-00,0
136.0,2000-01,0
136.0,2001-02,0
136.0,2002-03,0
136.0,2003-04,0
136.0,2004-05,0
136.0,2005-06,0
136.0,2006-07,0
136.0,2007-08,1
137.0,1996-97,0
137.0,1997-98,0
137.0,1998-99,0
137.0,1999-00,0
137.0,2000-01,0
140.0,1996-97,0
140.0,1997-98,1
143.0,1996-97,2
143.0,1997-98,0
143.0,1998-99,2
145.0,1996-97,0
145.0,1997-98,0
145.0,1998-99,2
145.0,1999-00,0
145.0,2000-01,0
145.0,2001-02,2
145.0,2002-03,1
145.0,2003-04,1
146.0,1996-97,1
146.0,1997-98,2
146.0,1998-99,0
146.0,1999-00,2
146.0,2000-01,2
146.0,2001-02,0
147.0,1996-97,2
147.0,1997-98,0
147.0,1998-99,2
147.0,1999-00,0
147.0,2000-01,0
147.0,2001-02,0
147.0,2002-03,0
147.0,2003-04,0
147.0,2004-05,0
147.0,2005-06,0
147.0,2006-07,1
156.0,1996-97,0
156.0,1997-98,2
156.0,1998-99,1
156.0,1999-00,1
157.0,1996-97,0
157.0,1997-98,0
157.0,1998-99,2
164.0,1996-97,0
164.0,1997-98,2
164.0,1998-99,2
164.0,1999-00,2
164.0,2000-01,0
164.0,2001-02,1
164.0,2002-03,1
165.0,1996-97,0
165.0,1997-98,0
165.0,1998-99,0
165.0,1999-00,2
165.0,2000-01,0
165.0,2001-02,2
166.0,1996-97,2
166.0,1997-98,2
166.0,1998-99,2
166.0,1999-00,2
166.0,2000-01,1
168.0,1996-97,0
168.0,1997-98,0
168.0,1998-99,0
168.0,1999-00,2
168.0,2000-01,1
168.0,2001-02,0
168.0,2002-03,1
170.0,1996-97,0
170.0,1997-98,1
170.0,1998-99,1
170.0,1999-00,1
173.0,1996-97,0
173.0,1997-98,2
173.0,1998-99,1
175.0,1996-97,1
175.0,1997-98,1
177.0,1996-97,0
177.0,1997-98,0
177.0,1998-99,2
177.0,1999-00,0
178.0,1996-97,0
178.0,1997-98,0
178.0,1998-99,2
178.0,1999-00,2
178.0,2000-01,2
179.0,1996-97,0
179.0,1997-98,1
179.0,1998-99,2
179.0,1999-00,2
179.0,2000-01,0
179.0,2001-02,1
180.0,1996-97,1
180.0,1997-98,1
180.0,1998-99,0
180.0,1999-00,2
180.0,2000-01,1
180.0,2001-02,2
180.0,2002-03,1
181.0,1996-97,0
182.0,1996-97,2
182.0,1997-98,0
182.0,1998-99,1
182.0,1999-00,0
182.0,2000-01,1
183.0,1996-97,1
183.0,1997-98,0
183.0,1998-99,2
184.0,1996-97,0
184.0,1997-98,0
184.0,1998-99,0
184.0,1999-00,2
185.0,1996-97,0
185.0,1997-98,0
185.0,1998-99,0
185.0,1999-00,0
185.0,2000-01,0
185.0,2001-02,0
185.0,2002-03,0
185.0,2003-04,2
185.0,2004-05,0
185.0,2005-06,0
185.0,2006-07,0
185.0,2007-08,1
187.0,1996-97,2
187.0,1997-98,0
187.0,1998-99,0
187.0,1999-00,2
190.0,1996-97,1
190.0,1997-98,1
190.0,1998-99,1
190.0,1999-00,1
190.0,2000-01,1
192.0,1996-97,0
192.0,1997-98,0
192.0,1998-99,0
192.0,1999-00,0
193.0,1996-97,0
193.0,1997-98,0
193.0,1999-00,0
193.0,2000-01,0
193.0,2001-02,2
193.0,2002-03,2
194.0,1997-98,1
195.0,1996-97,2
195.0,1997-98,0
195.0,1998-99,1
198.0,1996-97,0
198.0,1997-98,2
198.0,1998-99,0
198.0,1999-00,0
198.0,2000-01,0
198.0,2001-02,0
198.0,2002-03,1
199.0,1996-97,1
201.0,1996-97,1
201.0,1997-98,1
201.0,1998-99,1
201.0,1999-00,1
201.0,2000-01,1
201.0,2001-02,1
202.0,1996-97,1
202.0,1997-98,1
202.0,1999-00,1
202.0,2000-01,1
203.0,1996-97,1
203.0,1997-98,1
204.0,1996-97,0
204.0,1997-98,0
204.0,1998-99,0
204.0,1999-00,0
208.0,1996-97,0
208.0,1997-98,0
208.0,1998-99,2
208.0,1999-00,0
208.0,2000-01,0
208.0,2001-02,0
208.0,2002-03,0
208.0,2003-04,0
208.0,2004-05,0
208.0,2005-06,0
208.0,2006-07,0
208.0,2007-08,0
209.0,1996-97,0
209.0,1997-98,0
209.0,1998-99,0
209.0,1999-00,0
209.0,2000-01,0
209.0,2001-02,0
210.0,1996-97,0
210.0,1997-98,0
210.0,1998-99,0
210.0,1999-00,0
210.0,2000-01,0
210.0,2001-02,0
213.0,1996-97,2
213.0,1997-98,2
213.0,1998-99,2
213.0,1999-00,0
213.0,2000-01,0
213.0,2001-02,0
213.0,2002-03,0
213.0,2003-04,0
213.0,2004-05,2
213.0,2005-06,2
216.0,1996-97,2
216.0,1997-98,0
216.0,1999-00,2
216.0,2000-01,2
216.0,2001-02,1
216.0,2002-03,2
219.0,1996-97,0
219.0,1997-98,0
219.0,1998-99,2
219.0,1999-00,0
219.0,2000-01,0
219.0,2001-02,1
221.0,1996-97,0
221.0,1997-98,0
221.0,1998-99,2
221.0,1999-00,2
221.0,2000-01,0
221.0,2001-02,2
221.0,2002-03,2
221.0,2003-04,0
221.0,2004-05,1
224.0,1996-97,0
224.0,1997-98,0
224.0,1998-99,0
224.0,1999-00,0
224.0,2000-01,0
224.0,2001-02,0
224.0,2002-03,0
224.0,2003-04,0
224.0,2004-05,0
224.0,2005-06,0
224.0,2006-07,0
224.0,2007-08,2
228.0,1996-97,1
228.0,1997-98,2
228.0,1998-99,1
228.0,1999-00,1
228.0,2000-01,1
236.0,1996-97,1
236.0,1997-98,0
236.0,2000-01,2
238.0,1996-97,1
238.0,1997-98,1
238.0,1998-99,2
238.0,1999-00,0
238.0,2000-01,2
238.0,2001-02,1
238.0,2002-03,0
238.0,2003-04,1
239.0,1996-97,0
239.0,1997-98,0
239.0,1998-99,1
239.0,1999-00,2
239.0,2000-01,1
239.0,2003-04,1
239.0,2004-05,1
239.0,2005-06,1
239.0,2006-07,1
